"design","m","m1","T","sigma2_eps","sigma2_f","k","df_eff_avg","pop_opt","pop_opt_Eest_paper","pop_opt_Eest_df","pop_avg","Average","RestrOLS","Shrink","RSM","MSE","Rank","sd_Average","sd_RestrOLS","sd_Shrink","sd_RSM","sd_MSE","sd_Rank"
"Toeplitz_tridiag",20,NA,100,1,1,10,18.9999999948798,1.09147563110957,1.29885600102036,1.2988560009645,1.09275000000002,1.095590250196,1.3514955126902,1.35146157270996,1.15268695348968,1.09646905795274,1.11390981913496,0.0502915344243297,0.112216936139722,0.11220590781045,0.0569513759921737,0.0502668501540652,0.0510614197042747
"Toeplitz_tridiag",20,NA,100,1,1.2,10,18.9999999957314,1.10977075733149,1.32062720122446,1.32062720117709,1.11130000000002,1.11121877892464,1.37303309119952,1.37299823188356,1.1685023515559,1.11222736417286,1.13285464255456,0.0497846038792642,0.11179706272984,0.111786058930061,0.0569245114729916,0.0497974603088282,0.0507975820900189
"Toeplitz_tridiag",20,NA,300,1,0.75,17,18.9999999980472,1.06860672333218,1.13628514914321,1.13628514913626,1.06956249999999,1.07121423486115,1.14227237578975,1.14226283920428,1.12186097280824,1.07140155285282,1.08497890925277,0.048981173391564,0.0576397167033261,0.0576379830546725,0.054467882688428,0.0489903948029929,0.0496405533325151
"Toeplitz_tridiag",20,NA,300,1,1,17,18.9999999985361,1.09147563110957,1.16060242107983,1.16060242107452,1.09275000000002,1.09330523370203,1.16665673356352,1.16664692415665,1.14539526044441,1.09361750824892,1.11205203635128,0.0482712247783749,0.0574240479539907,0.0574221980364329,0.053983227987643,0.0483225376073725,0.0494369575172875
"Toeplitz_tridiag",20,NA,300,1,1.2,17,18.999999998779,1.10977075733149,1.18005623862914,1.18005623862463,1.11130000000002,1.11185158475125,1.18482714337378,1.1848172359078,1.16329019828255,1.11217429250447,1.13331506976861,0.0507230797444901,0.0589529050316564,0.0589511454520788,0.0554224038060505,0.050655848684737,0.0512382833309144
"Toeplitz_tridiag",50,NA,100,1,0.75,10,48.9999999707854,1.0280674335464,1.53182047598413,1.53182047568376,1.02823000000001,1.02711494108159,2.03408376591431,2.03395080222241,1.05063132681825,1.02743136005381,1.03356643927765,0.0468369007063884,0.298124068963262,0.298086697963875,0.0480884846912914,0.046860720265033,0.0471530657676599
"Toeplitz_tridiag",50,NA,100,1,1,10,48.9999999780576,1.03742324472852,1.54576063464545,1.54576063441784,1.03764000000001,1.03732157518925,2.06497945540546,2.06484363567177,1.06064324116486,1.03771625597387,1.04563040039,0.0459493321529564,0.316462356654586,0.316421469098818,0.0466207489084485,0.0459045126082804,0.0460368847311208
"Toeplitz_tridiag",50,NA,100,1,1.2,10,48.999999981665,1.04490789367423,1.55691276157456,1.55691276138299,1.04516799999999,1.04461832399536,2.07055262679363,2.07041698576418,1.06861144355499,1.04514522569209,1.05453300736574,0.0486020012031268,0.317130147072448,0.317090621878636,0.0504042712716852,0.0486155262461745,0.0490150243402359
"Toeplitz_tridiag",50,NA,300,1,0.75,17,48.9999999941354,1.0280674335464,1.19598511435895,1.19598511433886,1.02823000000001,1.02740010070541,1.22909605073662,1.22906937210002,1.05000713701801,1.02751206430613,1.03381271676417,0.0445928179891331,0.0709902805981462,0.0709854767802957,0.0459461436397695,0.0445953684964747,0.0448610008575784
"Toeplitz_tridiag",50,NA,300,1,1,17,48.9999999956066,1.03742324472852,1.20686904136753,1.20686904135231,1.03764000000001,1.03477596337555,1.23762530994151,1.23759841355985,1.05745222545595,1.03488874942724,1.0427861346194,0.0443133479096641,0.0706929459301686,0.0706881637533404,0.0459729025637741,0.0443237987814729,0.0447691655291359
"Toeplitz_tridiag",50,NA,300,1,1.2,17,48.9999999963413,1.04490789367423,1.21557618297434,1.21557618296159,1.04516799999999,1.04273221161914,1.24758311393163,1.24755602580234,1.06593425173593,1.04292092940061,1.05268014741095,0.0460859655665249,0.0711674712425321,0.0711628282996211,0.0475325693028704,0.046118698706614,0.0468099696789203
