"Var","Selected","mean_weight_nonzero","w_bar","Prediction","Hist_mean","Shapley"
"M2SL",0.071,0.0768641785124943,0.00361261639008723,0.59446177204483,0.856712914607927,-0.000947412775942547
"M2REAL",0.056,0.00246386998200157,6.65244895140424e-05,0.73239541250727,0.843717764348692,-7.40566262775326e-06
"AMBSL",0.063,6.46952743022193e-17,2.26433460057768e-18,0.694574358921396,0.872416645888121,-4.0269444382462e-19
"TOTRESNS",0.062,9.31678989519674e-17,2.51553327170312e-18,0.851861772396956,0.861648730577105,-2.46194189309331e-20
"NONBORRES",0.073,6.70378022314229e-17,2.27928527586838e-18,0.923403303965431,0.871977558336882,1.17213944811705e-19
"BUSLOANS",0.069,0.017589489077149,0.000668400584931662,0.82611895436675,0.847045076819933,-1.39870324880588e-05
"REALLN",0.063,0.0229469634844211,0.000849037648923579,0.539660498352257,0.851682697159479,-0.00026491859408725
"NONREVSL",0.054,0.0419662183253789,0.00155275007803902,0.876489328547048,0.851636052527635,3.85909262786681e-05
"CONSPI",0.082,6.28585586684106e-05,2.57720090540483e-06,0.818339233535403,0.890648793876394,-1.86356264380225e-07
"S&P 500",0.064,0.0380531017320631,0.00140796476408633,0.715215305361405,0.848441403532451,-0.000187577651881538
"S&P: indust",0.068,0.0600757344469536,0.00228287790898424,0.714513845746723,0.849008962681896,-0.000307035931317558
"FEDFUNDS",0.052,0.0563471563231076,0.00157772037704701,0.793541495687844,0.84327912383124,-7.84720694278235e-05
"CP3Mx",0.062,0.238479473409234,0.0116854941970525,0.791706242887358,0.840053259980444,-0.000564958787686057
"TB3MS",0.072,0.144299938025911,0.00707069696326966,0.812104242785217,0.839095463946873,-0.000190846745502666
"TB6MS",0.061,0.178152132105639,0.00872945447317629,0.796274283568121,0.837839721280777,-0.000362843596170269
"GS1",0.051,0.199737762570301,0.00858872379052294,0.784455033575537,0.836627568305504,-0.000448095490247152
"GS5",0.066,0.183730727682242,0.01065638220557,0.800275744024592,0.832665955318736,-0.000345162471269571
"GS10",0.071,0.165807316855695,0.0104458609619088,0.841670479662748,0.83327771617471,8.76696404822314e-05
"AAA",0.08,0.0616336152781123,0.00326658160973995,0.828565569421102,0.832043359868419,-1.13604863177335e-05
"BAA",0.064,0.0333051194283274,0.00113237406056313,0.783661377974498,0.838794214579446,-6.24309940567087e-05
"COMPAPFFx",0.071,0.0785276502450823,0.00337668896053854,0.773238260620346,0.858981796333001,-0.000289529250478464
"TB3SMFFM",0.051,0.0046420965463448,0.000143904992936689,0.994563618408217,1.00628358713822,-1.68656201730941e-06
"TB6SMFFM",0.064,0.00538730768872143,0.000193943076793971,0.945440416879584,0.967866128882881,-4.34931158521488e-06
"T1YFFM",0.061,0.0519560757502287,0.00171455049975755,0.858585983619742,0.890897860482177,-5.5400344622593e-05
"T5YFFM",0.066,0.0426499616370837,0.00179129838875752,1.03032622351251,0.921689546889898,0.000194600703794059
"T10YFFM",0.072,0.0189453913504901,0.000700979479968134,1.0609993188998,0.942634476653881,8.2971325564056e-05
"AAAFFM",0.066,0.0145191002488526,0.000435573007465579,0.928053075739443,0.968712412732882,-1.77101096957887e-05
"BAAFFM",0.061,0.00212410760501649,4.46062597053462e-05,0.790795248078191,0.909878078989811,-5.31183968209157e-06
"TWEXMMTH",0.059,0.0296704739340953,0.000801102796220573,0.626233674822974,0.754551167529036,-0.00010279550221084
"EXSZUSx",0.063,0.0309132434344944,0.0011128767636418,0.872806058016229,0.849059235085085,2.6427287450386e-05
"EXJPUSx",0.058,0.00686354292235297,0.000205906287670589,0.781285341063831,0.845535239500077,-1.32294580702197e-05
"EXUSUKx",0.059,0.00327957150766921,0.000111505431260753,0.749079593623736,0.845254768123223,-1.07240543091434e-05
"EXCAUSx",0.071,0.011573722736539,0.00043980146398848,0.775465629035876,0.854425179803904,-3.47265260236512e-05
"PPIFGS",0.046,0.00706123583369786,0.00019771460334354,0.487283128624494,0.86001316379052,-7.36941710570745e-05
"PPIFCG",0.068,0.0151407456020778,0.000635911315287266,0.431532614174457,0.862578519853138,-0.00027410696882932
"PPIITM",0.062,0.00428599102463665,0.00011572175766519,0.645646248295328,0.87148219532863,-2.61341327346763e-05
"PPICRM",0.059,0.0730995259074782,0.00292398103629913,0.676295294716223,0.851484761209153,-0.000512250677784689
"OILPRICEx",0.068,7.41201838924558e-17,2.5200862523435e-18,0.797963661434231,0.85211919369546,-1.36476612339867e-19
"PPICMM",0.069,2.75898939291016e-17,1.02082607537676e-18,0.175933993915711,0.858579131297644,-6.96861956468626e-19
"CPIAUCSL",0.079,0.0300500516406739,0.00144240247875235,0.702858255620376,0.854665230954546,-0.000218966757513904
"CPIAPPSL",0.064,1.18787524438818e-16,3.44483820872571e-18,0.662241557353793,0.847600365593907,-6.38531104949406e-19
"CPITRNSL",0.065,0.0135266755036184,0.000527540344641116,0.70321125031203,0.860691729903669,-8.30773064780216e-05
"CPIMEDSL",0.063,0.00851173639417628,0.000263863828219465,0.941118151289877,0.845899639956663,2.51247209177403e-05
"CUSR0000SAC",0.048,0.0296988514331361,0.000950363245860355,0.678669971485579,0.857643992535116,-0.000170090331569317
"CUSR0000SAD",0.077,0.0943628743283421,0.00452941796776042,0.955920036631075,0.844209278959902,0.000505984712987942
"CUSR0000SAS",0.067,0.0670408555197026,0.00281571593182751,0.823589598122476,0.847571375131714,-6.7525871598446e-05
"CPIULFSL",0.069,0.0415704518247769,0.00178752942846541,0.705313686280995,0.854818159141266,-0.000267243644924942
"CUSR0000SA0L2",0.065,0.047076478899391,0.00183598267707625,0.709869626995707,0.85638864565644,-0.000269006380123317
"CUSR0000SA0L5",0.058,0.0226273413513262,0.000701447581891114,0.717351154623525,0.853304753311261,-9.53643230489075e-05
"PCEPI",0.065,0.0454026448079032,0.00222472959558725,0.66406632426701,0.856448793019041,-0.000427998971904785
"DDURRG3M086SBEA",0.069,0.00501224292664345,0.000180440745359164,0.784332051816139,0.847481596351237,-1.13947508850048e-05
"DNDGRG3M086SBEA",0.073,0.030936534261824,0.0015468267130912,0.66787552233174,0.859135208792014,-0.000295845592154199
"DSERRG3M086SBEA",0.06,0.0288777066729966,0.00106847514690087,0.746650134604687,0.851700968814089,-0.00011224420551395
"CES0600000008",0.063,0.00595375766061076,0.000208381518121377,0.717265725787142,0.846978339185888,-2.70297112995219e-05
"CES2000000008",0.074,0.0114370644780427,0.000503230837033879,0.789333940490144,0.847544265994164,-2.92932308274025e-05
"CES3000000008",0.061,6.54178368804126e-17,2.22420645393403e-18,0.69957221923167,0.845540984933382,-3.24664670746532e-19
"UMCSENTx",0.053,0.0728541218626839,0.00196706129029246,0.71604571421795,0.766220554904562,-9.86969868612266e-05
"MZMSL",0.054,0.102043522279843,0.00428582793575342,0.727486615098605,0.854485299613178,-0.000544294509896492
"DTCOLNVHFNM",0.068,0.0310072158087169,0.00111625976911381,0.824978929656361,0.848142550152221,-2.58566176665484e-05
"DTCTHFNM",0.052,0.0193671568444341,0.000658483332710759,0.771439611347424,0.8461345005061,-4.91853395496655e-05
"INVEST",0.068,0.0439181682463176,0.00237158108530115,1.21624457172085,0.846160863911572,0.000877683521418599
"VXOCLSx",0.065,0.0631788335071272,0.00259033217379221,0.729809614568544,0.782226558311973,-0.00013577729583046
