"Var","Selected","mean_weight_nonzero","w_bar","Prediction","Hist_mean","Contribution"
"CUSR0000SAC",0.084,-0.0353721543953516,-0.00297126096920954,0.557714633971518,0.855388477959767,0.000884466674196854
"CUSR0000SAD",0.101,-1.09163927636982,-0.110255566913352,0.97698228084353,0.856054995582815,-0.0133329063917128
"CUSR0000SAS",0.094,-0.0657673187071279,-0.00618212795847002,0.885938398461961,0.855210238468799,-0.000189965417006064
"CPIULFSL",0.1,0.638267723248848,0.0638267723248848,0.61931213592803,0.854571022733079,-0.0150158154055117
"CUSR0000SA0L2",0.103,-0.408896318964574,-0.0421163208533512,0.525476849120077,0.856396153176571,0.013937103586211
"CUSR0000SA0L5",0.076,-1.67898700526026,-0.12760301239978,0.702727002869907,0.855198163538107,0.019455779405353
"PCEPI",0.117,0.168689828965227,0.0197367099889316,0.430253358014321,0.857603420272212,-0.00843448424253585
"DDURRG3M086SBEA",0.095,0.0499031380999331,0.00474079811949365,0.89948156917774,0.854800116682388,0.000211825745966209
"DNDGRG3M086SBEA",0.096,-0.335308926167347,-0.0321896569120654,0.450780530971828,0.856248429223412,0.0130518725335747
"DSERRG3M086SBEA",0.091,0.220788135692836,0.0200917203480481,0.765171594213521,0.862399713527835,-0.00195348018322985
"CES0600000008",0.102,-0.420187644924818,-0.0428591397823314,0.752298816556163,0.854480742718342,0.00437942945661271
"CES2000000008",0.1,1.98544373971157,0.198544373971157,0.842188044446446,0.854691424389541,-0.00248247574332545
"CES3000000008",0.097,0.447616365536936,0.0434187874570828,0.737474632262836,0.853795426807617,-0.00505050785517887
"UMCSENTx",0.099,-0.385575897466236,-0.0381720138491574,1.01776332000705,0.765512349468007,-0.00962892754087965
"MZMSL",0.101,0.566426687939371,0.0572090954818764,0.52028210887205,0.857933582650258,-0.0193167354029738
"DTCOLNVHFNM",0.088,0.261775170864292,0.0230362150360577,1.78288509276059,0.848742137872497,0.0215191179832204
"DTCTHFNM",0.097,0.978397804398973,0.0949045870267003,0.883345598525009,0.853702511598756,0.00281326492293266
"INVEST",0.079,-0.131726989002241,-0.010406432131177,0.0676296689517297,0.858961898692283,0.00823494514200807
"VXOCLSx",0.103,-0.502826082690555,-0.0517910865171271,0.637715027802122,0.753667169181048,0.00600528738600214
