T_len,rho,R2_target,phi_f,phi_eta,phi_u,z,rmsfe_base,rmsfe_rs,rel_rmsfe,rmse_pooled_base,rmse_pooled_rs,bias_base,var_base,bias_rs,var_rs,Q_ols,Q_rs_bag,Q_rs_subavg,L_ols,L_rs_bag,L_rs_subavg
500,0.000000,0.300000,0.7,0.3,0.0,18,1.009314,0.999367,0.990145,1.023402,1.013248,0.000121,1.047231,0.000114,1.026558,0.901106,0.959351,1.001689,1.001586,0.993945,1.037810
500,0.000000,0.300000,0.7,0.3,0.0,19,1.009314,0.999525,0.990301,1.023402,1.013443,0.000121,1.047231,0.000117,1.026949,0.901106,0.955283,0.997825,1.001586,0.991835,1.036004
500,0.000000,0.300000,0.7,0.3,0.0,20,1.009314,0.999881,0.990654,1.023402,1.013805,0.000121,1.047231,0.000118,1.027683,0.901106,0.951392,0.994019,1.001586,0.989899,1.034252
500,0.000000,0.300000,0.7,0.3,0.0,21,1.009314,1.000258,0.991028,1.023402,1.014163,0.000121,1.047231,0.000119,1.028407,0.901106,0.947695,0.990285,1.001586,0.988158,1.032566
500,0.000000,0.300000,0.7,0.3,0.0,22,1.009314,1.000731,0.991496,1.023402,1.014648,0.000121,1.047231,0.000117,1.029393,0.901106,0.944171,0.986606,1.001586,0.986589,1.030930
500,0.000000,0.300000,0.7,0.3,0.0,23,1.009314,1.001199,0.991959,1.023402,1.015142,0.000121,1.047231,0.000118,1.030396,0.901106,0.940818,0.982982,1.001586,0.985193,1.029345
500,0.000000,0.300000,0.7,0.3,0.0,24,1.009314,1.001789,0.992544,1.023402,1.015742,0.000121,1.047231,0.000117,1.031614,0.901106,0.937642,0.979423,1.001586,0.983977,1.027822
500,0.000000,0.300000,0.7,0.3,0.0,25,1.009314,1.002405,0.993155,1.023402,1.016342,0.000121,1.047231,0.000122,1.032829,0.901106,0.934632,0.975918,1.001586,0.982929,1.026349
500,0.000000,0.300000,0.7,0.3,0.0,26,1.009314,1.003157,0.993899,1.023402,1.017119,0.000121,1.047231,0.000117,1.034414,0.901106,0.931782,0.972468,1.001586,0.982047,1.024928
500,0.000000,0.300000,0.7,0.3,0.0,27,1.009314,1.004021,0.994756,1.023402,1.017974,0.000121,1.047231,0.000119,1.036151,0.901106,0.929077,0.969059,1.001586,0.981314,1.023544
500,0.000000,0.300000,0.7,0.3,0.0,28,1.009314,1.004810,0.995537,1.023402,1.018788,0.000121,1.047231,0.000122,1.037807,0.901106,0.926527,0.965705,1.001586,0.980741,1.022212
500,0.000000,0.300000,0.7,0.3,0.0,29,1.009314,1.005627,0.996347,1.023402,1.019635,0.000121,1.047231,0.000119,1.039537,0.901106,0.924112,0.962383,1.001586,0.980309,1.020908
500,0.000000,0.300000,0.7,0.3,0.0,30,1.009314,1.006856,0.997565,1.023402,1.020871,0.000121,1.047231,0.000117,1.042061,0.901106,0.921843,0.959114,1.001586,0.980031,1.019654
500,0.000000,0.300000,0.7,0.3,0.0,31,1.009314,1.007792,0.998492,1.023402,1.021826,0.000121,1.047231,0.000118,1.044011,0.901106,0.919704,0.955881,1.001586,0.979890,1.018434
500,0.000000,0.300000,0.7,0.3,0.0,32,1.009314,1.008761,0.999451,1.023402,1.022822,0.000121,1.047231,0.000118,1.046048,0.901106,0.917700,0.952690,1.001586,0.979892,1.017253
500,0.000000,0.300000,0.7,0.3,0.0,33,1.009314,1.009949,1.000629,1.023402,1.024041,0.000121,1.047231,0.000119,1.048540,0.901106,0.915829,0.949548,1.001586,0.980037,1.016120
500,0.000000,0.300000,0.7,0.3,0.0,34,1.009314,1.011134,1.001803,1.023402,1.025229,0.000121,1.047231,0.000117,1.050978,0.901106,0.914078,0.946431,1.001586,0.980310,1.015008
500,0.000000,0.300000,0.7,0.3,0.0,35,1.009314,1.012534,1.003189,1.023402,1.026664,0.000121,1.047231,0.000120,1.053919,0.901106,0.912454,0.943367,1.001586,0.980722,1.013948
500,0.000000,0.300000,0.7,0.3,0.0,36,1.009314,1.013715,1.004360,1.023402,1.027874,0.000121,1.047231,0.000119,1.056406,0.901106,0.910940,0.940320,1.001586,0.981254,1.012903
