"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx"
22,1.13653491571346,1.06003394740051,1.0601295736109,3.39474005099927e-05,3.39474005099392e-05,5.35121534757377e-17,1.88325097539085e-06,1.88325097539085e-06,1.06000188325098,3.20641495346018e-05,0.944524442310789,18.0259566853256,0.00340609170157029,0.000792306963954175,0.00139094573603015,0.000307692710188794,0.000467561965700189,0.00108325302584136,0.240581718393041
23,1.13061469755825,1.06002843676847,1.06011666959446,2.84367684721953e-05,2.84367684722986e-05,-1.03246540006721e-16,1.60217280668426e-06,1.60217280668426e-06,1.06000160217281,2.68345956655111e-05,0.943658408013174,17.7488772456736,0.00328859140121276,0.000730792448119223,0.00174801381697231,0.00028380352461513,0.00044063734813778,0.00146421029235718,0.341372812647973
24,1.12515991648871,1.06002748271965,1.06010889826186,2.74827196502514e-05,2.74827196502886e-05,-3.71813582526748e-17,1.36446283998609e-06,1.36446283998609e-06,1.06000136446284,2.61182568102653e-05,0.950351971808088,20.141786822521,0.0031114128475993,0.000674404141937185,0.00112855938305876,0.000261905104505938,0.000424940108483671,0.000971071614721616,0.263780164667295
25,1.12018167218454,1.06002889417239,1.06010408514491,2.88941723931568e-05,2.88941723932687e-05,-1.11832065960091e-16,1.16261922460353e-06,1.16261922460353e-06,1.06000116261922,2.77315531685533e-05,0.959762847373373,24.8526532003719,0.00324417300078265,0.000622526900249709,0.00164149400339423,0.000241758558005481,0.000434165399469,0.00139973544538875,0.368199041803976
26,1.11553811689392,1.0600206900362,1.06009008681977,2.06900361954254e-05,2.06900361954735e-05,-4.80504850318419e-17,9.90634132206561e-07,9.90634132206561e-07,1.06000099063413,1.96994020632189e-05,0.952120232035863,20.8856484172819,0.00277722831697422,0.000574640215615116,0.00123299320975607,0.000223161745851213,0.000373405802190442,0.00136718397094275,0.335738170697364
27,1.11120175975323,1.0600191142163,1.06008309252322,1.91142162959679e-05,1.91142162958897e-05,7.8201469822306e-17,8.43656474369368e-07,8.43656474369368e-07,1.06000084365647,1.82705598215985e-05,0.955862355991685,22.6563973331156,0.00256820412525686,0.000530300692805308,0.00100291785530275,0.000205942475338002,0.000352554630666565,0.000979308734481074,0.243095286802733
28,1.10709794066409,1.06001113125936,1.06006998977111,1.11312593567003e-05,1.113125935665e-05,5.03882959662638e-17,7.17739419270548e-07,7.17739419270548e-07,1.06000071773942,1.04135199374298e-05,0.93552037588285,15.5087752711329,0.00200852898493829,0.000489128278767628,0.000978064079447446,0.000189953152718592,0.000302524385990991,0.00109425523607545,-0.154013805258751
29,1.10360768949853,1.06002171748962,1.06007619995464,2.17174896248729e-05,2.17174896249121e-05,-3.92718355664984e-17,6.09649319916954e-07,6.09649319916954e-07,1.06000060964932,2.11078403049559e-05,0.971928186431883,35.622921104597,0.00279850161056552,0.000450795341560134,0.00102134779619777,0.000175066542003969,0.000373659351036759,0.00103071461013657,0.417645328910781
30,1.10010792285883,1.06001531943014,1.06006543518442,1.5319430135996e-05,1.53194301360335e-05,-3.75133951679985e-17,5.16719655379348e-07,5.16719655379348e-07,1.06000051671966,1.48027104806167e-05,0.966270308308322,29.6474693317972,0.00230568721890029,0.000415017933499806,0.000959533470209471,0.000161172372003654,0.000309736570683302,0.000896381008460911,0.361372744819408
31,1.09679574290777,1.06001301395412,1.06005899236532,1.30139541241192e-05,1.3013954124132e-05,-1.27918915694344e-17,4.36738335152836e-07,4.36738335152836e-07,1.06000043673834,1.25772157889664e-05,0.966440765735956,29.7980577307577,0.00207632219461753,0.000381548745314338,0.00065073988575521,0.000148174600067875,0.000298989660147373,0.000647443369846491,-0.00823481713868578
32,1.09379931945926,1.06001928799552,1.06006151303485,1.92879955207559e-05,1.92879955207437e-05,1.21769456497278e-17,3.67859989034712e-07,3.67859989034712e-07,1.06000036785999,1.89201355317212e-05,0.980928034297869,52.4329801981695,0.00265830065668265,0.000350171381390461,0.00126297612705879,0.000135989188878083,0.00037087176265101,0.00112698693818071,0.167527280491965
33,1.09094449685796,1.06001779338159,1.06005645176093,1.77933815879161e-05,1.77933815880571e-05,-1.4096661121385e-16,3.08537149596346e-07,3.08537149596346e-07,1.06000030853715,1.74848444383198e-05,0.982660004897221,57.6701431616739,0.00255914789918103,0.000320695675886214,0.00102199928954281,0.000124542287457369,0.000360159630904981,0.000977876665110002,0.101336752892075
34,1.08826671381546,1.06001042982123,1.06004575017622,1.04298212313392e-05,1.04298212314239e-05,-8.47253175820586e-17,2.57465849047149e-07,2.57465849047149e-07,1.06000025746585,1.0172355382292e-05,0.975314452344253,40.509532700895,0.00191705577236729,0.000292953835411628,0.000687248745204518,0.00011376873317905,0.000270420069310139,0.000727554533613729,0.0931022466974164
35,1.08578422994973,1.06000814328231,1.06004036339064,8.14328230869243e-06,8.14328230872701e-06,-3.45724967751315e-17,2.13542306559833e-07,2.13542306559833e-07,1.06000021354231,7.9297400021326e-06,0.973776875409085,38.1342809295298,0.00167308284890435,0.000266797242964161,0.000556169182442275,0.000103610810573778,0.000226961763141893,0.000512034350990037,0.330221925439525
36,1.08338400151037,1.06001269107593,1.06004190521397,1.26910759306043e-05,1.26910759305542e-05,5.00630353145182e-17,1.75828216066584e-07,1.75828216066584e-07,1.06000017582822,1.25152477145377e-05,0.986145523277299,72.1788357666003,0.00209413799552495,0.000242093794541553,0.0008425100717066,9.40172170021315e-05,0.000291702929944293,0.000875818327405879,0.186885281424495
37,1.08106582501191,1.06000891626919,1.06003523740512,8.91626919052868e-06,8.91626919057779e-06,-4.91092762159098e-17,1.43522753073774e-07,1.43522753073774e-07,1.06000014352275,8.77274643745491e-06,0.983903272769486,62.1244297477034,0.00173365301877867,0.000218725667655303,0.000521784143859609,8.49421960559798e-05,0.000248212571661162,0.000512432413694687,-0.0357077112951268
38,1.07899855664247,1.06000619450644,1.06002993495911,6.19450643668529e-06,6.19450643660825e-06,7.70351054539369e-17,1.15939867273482e-07,1.15939867273482e-07,1.06000011593987,6.0785665694118e-06,0.981283437436297,53.4286141804311,0.00145042133298143,0.000196587442184119,0.000513536277207984,7.63448077912045e-05,0.000199127742999391,0.000501757375720785,0.280176016549838
39,1.07691216039036,1.06000647738995,1.0600276094937,6.47738995263047e-06,6.47738995263982e-06,-9.34785560589846e-18,9.24897608001495e-08,9.24897608001495e-08,1.06000009248976,6.38490019183033e-06,0.985721137452503,70.0335896275775,0.00152939373173871,0.000175584510326841,0.000608393033361503,6.81883112323151e-05,0.000217788848977389,0.000578847854175154,-0.00321003165797273
40,1.07495589116704,1.06000722725099,1.06002591308088,7.22725098567523e-06,7.22725098583084e-06,-1.55613504937771e-16,7.26637015377208e-08,7.26637015377208e-08,1.0600000726637,7.15458728413751e-06,0.989945872686344,99.4616408568651,0.00162194578853855,0.000155631725062427,0.0008277080865337,6.04396395013702e-05,0.000236824102236565,0.000864678000006246,-0.295835738846086
41,1.07318639974361,1.06000381679474,1.06002029502343,3.81679474292795e-06,3.81679474296964e-06,-4.16824913343841e-17,5.60215093354469e-08,5.60215093354469e-08,1.06000005602151,3.76077323359251e-06,0.985322367822046,68.1308802316207,0.0011084861334868,0.000136652246396278,0.000441287426719752,5.30689517573007e-05,0.000155876423615765,0.000433099653734747,0.107416791935373
42,1.07146672555791,1.06000572898046,1.06002005522619,5.72898046380388e-06,5.72898046398875e-06,-1.84871717001829e-16,4.21811963574978e-08,4.21811963574978e-08,1.0600000421812,5.68679926744638e-06,0.992637224611953,135.818349371818,0.00139885043632282,0.000118576552428516,0.000628130516586587,4.60492491439011e-05,0.000194174830224948,0.000610021289159629,0.258181896013774
43,1.06978055446387,1.06000299614454,1.06001521809244,2.99614453691532e-06,2.99614453690248e-06,1.28456781615851e-17,3.08103526260536e-08,3.08103526260536e-08,1.06000003081035,2.96533418428927e-06,0.989716666787453,97.2447337192028,0.00100635409884467,0.000101341588412743,0.000310570108918015,3.93560443264736e-05,0.000142258673539898,0.000294599437480435,0.0546262823486467
44,1.06820570110996,1.06000309196806,1.06001334522949,3.09196805892142e-06,3.09196805892807e-06,-6.64920863594626e-18,2.16189525236194e-08,2.16189525236194e-08,1.06000002161895,3.0703491063978e-06,0.993008028507526,143.021178086373,0.00106058807621173,8.4890031852233e-05,0.00041202663991656,3.29670760916565e-05,0.000148250389692134,0.000400347121684345,0.184067796354038
45,1.0666769225459,1.06000297074948,1.06001131318922,2.97074947908094e-06,2.97074947910191e-06,-2.09763474222791e-17,1.43533237605375e-08,1.43533237605375e-08,1.06000001435332,2.9563961553204e-06,0.995168450297944,206.972930356982,0.001004422071138,6.9169655583301e-05,0.000320988899016092,2.6862062000609e-05,0.000141654604209464,0.000331514309307519,0.0744635826898795
46,1.06522241360058,1.06000171922557,1.06000824509354,1.71922557234971e-06,1.71922557231785e-06,3.18679205745485e-17,8.79107164161461e-09,8.79107164161461e-09,1.06000000879107,1.7104345007081e-06,0.994886609539201,195.564959818022,0.000793730062703728,5.41327739347573e-05,0.000470797543749579,2.10224833048244e-05,0.000111395353493212,0.000457938443411302,0.145362555950038
47,1.06382052579859,1.06000125016386,1.0600060242584,1.25016385843502e-06,1.2501638584463e-06,-1.1285019956269e-17,4.73679177067985e-09,4.73679177067985e-09,1.06000000473679,1.24542706666434e-06,0.996211063262851,263.926285755978,0.000658393428200967,3.97357595904069e-05,0.000239329644839172,1.54313973194988e-05,9.4223145883498e-05,0.000248608793219102,-0.16893403032181
48,1.06250096989243,1.06000080071187,1.06000392592334,8.00711865700521e-07,8.00711865794779e-07,-9.42581440078138e-17,2.01843615382557e-09,2.01843615382557e-09,1.06000000201844,7.98693429546695e-07,0.99747919789841,396.699129760889,0.000515587893605819,2.59386208437379e-05,0.000217448085749031,1.00732732502284e-05,7.27947295840831e-05,0.000219002246361926,0.057951890903914
49,1.06122232310919,1.06000064226731,1.06000216936837,6.42267314443501e-07,6.42267314356728e-07,8.67725962155723e-17,4.8422291736923e-10,4.8422291736923e-10,1.06000000048422,6.41783091526132e-07,0.99924607261419,1326.38768510363,0.000487522829529343,1.2704630617341e-05,0.000227732350529641,4.93384812256083e-06,6.90920025848908e-05,0.000232666198652202,-0.0682395664900052
50,1.06,1.06,1.06,4.44089209850063e-16,7.72561272616829e-29,4.44089209849985e-16,0,0,1.06,4.44089209850063e-16,NA,NA,5.16405064533775e-15,0,1.68962066560141e-15,0,7.30307045941818e-16,1.68962066560141e-15,NA
