"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet.x","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet.y","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
21,1.14295969795783,1.06002517406764,1.0601288422225,2.51740676351364e-05,2.51740676351973e-05,-6.09050570393732e-17,1.64744637297559e-06,1.64744637297559e-06,1.06000164744637,2.35266212621608e-05,0.934557799841763,15.2806598430682,0.00295311892831712,0.000741045741497691,0.000960379737452114,0.00032305714395983,0.00041183804737677,0.000991711066478402,0.180390399660928,1.06000164744637,1.06010521681564,1.64744637287662e-06,0.000105216815636577,1.14285714285714,1.14299632367141,2.24812965177937,2.24824267953853,2.3385518590998,2.33870375049072,2.06212871843815,2.06,2.59126315789474
22,1.13641971629322,1.06002261937754,1.06011811574869,2.2619377541222e-05,2.26193775413227e-05,-1.00725769955692e-16,1.39934429392909e-06,1.39934429392909e-06,1.06000139934429,2.12200332472929e-05,0.938135154631073,16.1642689646529,0.00281595201889855,0.000682970056427339,0.000959624358987048,0.000297739185969248,0.000393780676310844,0.000940511865862579,0.167135288135573,1.06000139934429,1.06009685214057,1.39934429399524e-06,9.68521405682043e-05,1.13636363636364,1.13648607898935,2.25844190111599,2.2585465489064,2.34216013344454,2.34229437100209,2.06212871843815,2.06,2.59126315789474
23,1.1304458745446,1.06002199369712,1.06011002354818,2.19936971235235e-05,2.19936971235837e-05,-6.01698324411565e-17,1.19048995817282e-06,1.19048995817282e-06,1.06000119048996,2.08032071653507e-05,0.945871312518006,18.4744919287515,0.002717180363095,0.000629944430928322,0.00102811809994902,0.000274622789543064,0.000393513581818187,0.00106015858288602,0.0108817997846896,1.06000119048996,1.06008923248011,1.19048995816939e-06,8.92324801065048e-05,1.1304347826087,1.13054280854934,2.26884923745207,2.26894620535827,2.34642356241234,2.34654254029167,2.06212871843815,2.06,2.59126315789474
24,1.12505564488703,1.06002745994425,1.06010874517542,2.74599442460222e-05,2.74599442461745e-05,-1.52316852707057e-16,1.0138602418706e-06,1.0138602418706e-06,1.06000101386024,2.64460840041516e-05,0.963078576096619,27.0845458890446,0.00304728222788766,0.000581337607554223,0.00091865964103173,0.000253432759485729,0.000428618773460812,0.00101214787970063,0.123674795820563,1.06000101386024,1.06008226259292,1.01386024176087e-06,8.22625929166598e-05,1.125,1.12509553683048,2.27935297366943,2.27944287388753,2.35127314814815,2.35137885788188,2.06212871843815,2.06,2.59126315789474
25,1.12006096972473,1.06001768262678,1.06009273673565,1.7682626781701e-05,1.76826267818034e-05,-1.023893426641e-16,8.638809161501e-07,8.638809161501e-07,1.06000086388092,1.68187458655509e-05,0.951145215763752,20.4688244075398,0.00251366789630485,0.000536619330050052,0.000879371375919095,0.00023393793183298,0.000354451468217021,0.000995060636606175,0.120356800625464,1.06000086388092,1.06007586280107,8.63880916135429e-07,7.58628010650853e-05,1.12,1.12008466032978,2.28995444868623,2.29003781957886,2.3566511627907,2.3567452735759,2.06212871843815,2.06,2.59126315789474
26,1.11546889007325,1.06001976834088,1.06008907974305,1.97683408840188e-05,1.9768340883997e-05,2.17585823490685e-17,7.36087881216653e-07,7.36087881216653e-07,1.06000073608788,1.90322530028021e-05,0.962764306547763,26.8559521063496,0.00260389797889258,0.000495340920046202,0.00103245790417056,0.000215942706307366,0.000363110212047835,0.00116716667811259,0.167929222828208,1.06000073608788,1.060069965937,7.36087881314518e-07,6.99659370020367e-05,1.11538461538462,1.11545975768916,2.30065502768693,2.30073234513525,2.36250898634076,2.36259290695191,2.06212871843815,2.06,2.59126315789474
27,1.11101851123003,1.06002232970762,1.06008607493453,2.2329707623614e-05,2.23297076236476e-05,-3.36441486649408e-17,6.26876549579427e-07,6.26876549579427e-07,1.06000062687655,2.17028310740345e-05,0.971926343141345,35.6205821362994,0.00272372449113179,0.000457120170042637,0.000922199262722308,0.000199280460450317,0.000404101051430147,0.00086806369832036,-0.215750637595997,1.06000062687655,1.06006451498184,6.2687654955873e-07,6.45149818427893e-05,1.11111111111111,1.11117788709139,2.31145610245772,2.31152778911108,2.36880542514345,2.36888035218236,2.06212871843815,2.06,2.59126315789474
28,1.10715916448201,1.06001503671822,1.06007396687792,1.50367182194522e-05,1.50367182194156e-05,3.66019877167528e-17,5.33314239051847e-07,5.33314239051847e-07,1.06000053331424,1.45034039804003e-05,0.964532537534558,28.1948560874452,0.00225980128718815,0.000421629473610755,0.000748865251903028,0.000183808375011627,0.000321580727571073,0.00076711270886379,0.0597004583191576,1.06000053331424,1.06005946121902,5.33314238992944e-07,5.94612190247812e-05,1.10714285714286,1.10720224895584,2.32235909180237,2.32242552467616,2.37550539083558,2.37557234670022,2.06212871843815,2.06,2.59126315789474
29,1.10353415315712,1.06001867059856,1.06007306495176,1.86705985572022e-05,1.8670598557319e-05,-1.16744857054166e-16,4.52998197410456e-07,4.52998197410456e-07,1.0600004529982,1.82176003597918e-05,0.97573735003607,41.2156133599026,0.00257716292709277,0.000388586411415555,0.00130923604263508,0.00016940332994802,0.000351975323125995,0.00125769300973669,0.29878498804312,1.0600004529982,1.06005476277678,4.52998197397747e-07,5.47627767772951e-05,1.10344827586207,1.10350112565177,2.33336544202166,2.33342695878507,2.38257885275372,2.38263871578565,2.06212871843815,2.06,2.59126315789474
30,1.1000541638286,1.06001885714927,1.06006890128262,1.88571492685252e-05,1.88571492685502e-05,-2.49806956804238e-17,3.83947073844489e-07,3.83947073844489e-07,1.06000038394707,1.84732021946807e-05,0.979639177249058,49.1139288540665,0.00250764218315563,0.000357746220033368,0.000814885813572207,0.000155958621221987,0.000352075638892625,0.000841743764014166,0.1217194406152,1.06000038394707,1.06005038346714,3.83947073911983e-07,5.03834671401471e-05,1.1,1.10004703351655,2.34447662744453,2.34453353166022,2.39,2.39005352862121,2.06212871843815,2.06,2.59126315789474
31,1.09679288618382,1.06001116665865,1.06005714380806,1.11666586533055e-05,1.11666586534219e-05,-1.16448395522627e-16,3.2451718078063e-07,3.2451718078063e-07,1.06000032451718,1.08421414725248e-05,0.970938739075312,34.4100692186587,0.00195540808920132,0.000328895718417774,0.000695407571723868,0.000143381313058923,0.000278735519000906,0.000721714243162738,0.0366326031130767,1.06000032451718,1.06004629185347,3.24517180683159e-07,4.62918534698264e-05,1.09677419354839,1.09681603918486,2.3556941510029,2.35574671652143,2.39774656582806,2.39779441801522,2.06212871843815,2.06,2.59126315789474
32,1.09372092743204,1.06001493362488,1.06005706611714,1.49336248789211e-05,1.49336248789755e-05,-5.43303873027853e-17,2.73337321125617e-07,2.73337321125617e-07,1.06000027333732,1.46602875577955e-05,0.981696518873229,54.6344158837282,0.0022518603882072,0.000301848373153154,0.000854411076608264,0.000131590086656051,0.000327478544536529,0.000883319198487338,-0.147209212628081,1.06000027333732,1.06004246049565,2.7333732122159e-07,4.24604956494878e-05,1.09375,1.09378720424649,2.36701954484433,2.36706801951183,2.40579927884615,2.4058420279563,2.06212871843815,2.06,2.59126315789474
33,1.0909434759037,1.06001552130256,1.06005418124582,1.55213025636591e-05,1.5521302563743e-05,-8.38359329874416e-17,2.29257653597226e-07,2.29257653597226e-07,1.06000022925765,1.52920449100619e-05,0.985229483630195,67.7024401153819,0.00232144149211763,0.000276440260934875,0.000985030969132602,0.000120513480035172,0.000326974092867781,0.000925433471202894,0.0934233249194428,1.06000022925765,1.06003886533472,2.29257653527881e-07,3.88653347178636e-05,1.09090909090909,1.0909421309827,2.37845437097864,2.3784989797826,2.41414141414141,2.41417956185925,2.06212871843815,2.06,2.59126315789474
34,1.08828335434183,1.06000858639232,1.06004392985226,8.58639232248493e-06,8.58639232250037e-06,-1.54397165625514e-17,1.91309268628396e-07,1.91309268628396e-07,1.06000019130927,8.39508305385653e-06,0.977719482007895,44.8822599346369,0.00168034666993546,0.000252526743552966,0.000535372122670116,0.000110088438509638,0.000231725319225176,0.000516413569416969,0.238614202245622,1.06000019130927,1.06003548518778,1.91309268648965e-07,3.54851877790718e-05,1.08823529411765,1.08826458834941,2.3900002219559,2.39004116970815,2.42275842375785,2.42279241075489,2.06212871843815,2.06,2.59126315789474
35,1.0857617379451,1.06001218048509,1.06004436743192,1.21804850921059e-05,1.21804850922332e-05,-1.27307357906427e-16,1.58672005007161e-07,1.58672005007161e-07,1.06000015867201,1.20218130870987e-05,0.986973260604375,76.7651804208069,0.00204138827329235,0.000229979712878594,0.000598340676668647,0.000100259113642706,0.000283321614366495,0.000659879449409613,0.220031546921899,1.06000015867201,1.06003230133081,1.58672005090565e-07,3.23013308078934e-05,1.08571428571429,1.08574020214177,2.4016587215737,2.40169619521006,2.43163763066202,2.43166784542382,2.06212871843815,2.06,2.59126315789474
36,1.08335564307295,1.06001034877911,1.06003953039698,1.03487791101031e-05,1.03487791102887e-05,-1.85586612809312e-16,1.30648657072083e-07,1.30648657072083e-07,1.06000013064866,1.0218130453031e-05,0.987375452149275,79.2107576306229,0.00190895058856471,0.000208685295019465,0.000659382992354508,9.09758623794923e-05,0.000268544411599455,0.000702040670133815,0.102714648411723,1.06000013064866,1.06002929715201,1.30648657004073e-07,2.92971520130525e-05,1.08333333333333,1.08335619684832,2.41343152561289,2.41346569617319,2.44076797385621,2.44079476003308,2.06212871843815,2.06,2.59126315789474
37,1.08111121058409,1.06000795646452,1.06003433553217,7.95646451834386e-06,7.95646451848968e-06,-1.45815027803933e-16,1.06644174455345e-07,1.06644174455345e-07,1.06000010664417,7.84982034388852e-06,0.986596537418162,74.6075869495852,0.00164829052923395,0.000188541926774343,0.000534645186919116,8.21944084818579e-05,0.000231403571051655,0.000530811094661867,0.120714097441021,1.06000010664417,1.06002645786222,1.06644174380222e-07,2.64578622206635e-05,1.08108108108108,1.08110117940627,2.42532032260078,2.42535134694124,2.45013979496738,2.45016345752758,2.06212871843815,2.06,2.59126315789474
38,1.07895609709814,1.06000797370406,1.0600316588583,7.97370405836162e-06,7.97370405844159e-06,-7.9970074616173e-17,8.61487894221705e-08,8.61487894221705e-08,1.06000008614879,7.88755526893945e-06,0.989195888285842,92.5573546865137,0.00166280169306697,0.00016945873580528,0.00060256046125385,7.38751363683096e-05,0.000236288329382887,0.000566027010510561,0.00357908680398524,1.06000008614879,1.06002377025163,8.61487894354696e-08,2.37702516296956e-05,1.07894736842105,1.07896495713223,2.43732683460179,2.43735485688188,2.45974465867639,2.45976546908219,2.06212871843815,2.06,2.59126315789474
39,1.07693606339968,1.06000717795679,1.06002833906359,7.1779567898389e-06,7.17795678981948e-06,1.94250065793829e-17,6.87242543419868e-08,6.87242543419868e-08,1.06000006872425,7.10923253549691e-06,0.990425652263709,104.445757303089,0.00160500015681028,0.000151354170014117,0.000492959157375239,6.59824935939175e-05,0.000225582045681941,0.000488723604869633,0.112320604924536,1.06000006872425,1.0600212224845,6.87242542873889e-08,2.12224845028697e-05,1.07692307692308,1.07693838368882,2.44945281803531,2.44947797101391,2.46957520091848,2.46959340150063,2.06212871843815,2.06,2.59126315789474
40,1.07498521616323,1.06000536441474,1.06002408922943,5.36441474197069e-06,5.36441474203536e-06,-6.46658833251823e-17,5.39925572593812e-08,5.39925572593812e-08,1.06000005399256,5.31042218471131e-06,0.989935051658674,99.3547076535002,0.00136961859612474,0.000134154832512513,0.000505001287938098,5.84844829582451e-05,0.000196796575719553,0.000492153233769621,-0.115902285334184,1.06000005399256,1.06001880392507,5.39925573139755e-08,1.88039250665906e-05,1.075,1.07501322817653,2.46170006452111,2.46172247069045,2.479625,2.47964080767095,2.06212871843815,2.06,2.59126315789474
41,1.07319737967302,1.06000622280809,1.06002271175417,6.22280809148279e-06,6.2228080915311e-06,-4.83062889819127e-17,4.16266235622594e-08,4.16266235622594e-08,1.06000004162662,6.18118146792053e-06,0.993310636781611,149.491060262804,0.00149609586804385,0.000117794487084158,0.000683528953179174,5.13522289389469e-05,0.000209626618402289,0.000663897425213996,0.156079709373609,1.06000004162662,1.06001650498922,4.16266234815055e-08,1.65049892244529e-05,1.07317073170732,1.07318206339929,2.47407040175258,2.47409017433379,2.48988846672386,2.48990207614286,2.06212871843815,2.06,2.59126315789474
