"k","i","tau","sigma2","delta","w_opt","w_bag_mc","w_bag_smallhet_approx","diff_mc","diff_smallhet_approx","diff_approx_error"
3,5,0.204677957860141,4.88572394631431,-0.385966126419578,0.0122806774716084,0.0186375025891497,0.0147487601847676,0.0063568251175413,0.00246808271315921,0.00388874240438209
3,6,0.348418300559033,2.87011330459827,0.0452549016770998,0.020905098033542,0.0279987659405179,0.0206157129479877,0.00709366790697595,-0.000289385085554244,0.0073830529925302
3,7,0.0534139018554059,18.7217178536601,-0.839758294433782,0.00320483411132435,0.0085705645284408,0.00857471708253357,0.00536573041711645,0.00536988297120922,-4.15255409277285e-06
3,8,0.0708973039771502,14.1049087046003,-0.787308088068549,0.00425383823862901,0.00832154998474665,0.00928832533240069,0.00406771174611763,0.00503448709377168,-0.000966775347654041
3,9,0.180361809528147,5.54441099596498,-0.458914571415558,0.0108217085716888,0.0187304381284839,0.0137562643344822,0.0079087295567951,0.00293455576279337,0.00497417379400174
3,10,0.208325823130734,4.80017304130585,-0.375022530607799,0.012499549387844,0.0189872326350406,0.0148976526447919,0.00648768324719653,0.00239810325694783,0.00408957999024871
3,11,0.239788271418713,4.17034575579313,-0.280635185743862,0.0143872962851227,0.0218306717884083,0.0161818342075665,0.00744337550328554,0.00179453792244374,0.0056488375808418
3,12,0.0795730230314019,12.5670731348911,-0.761280930905794,0.00477438138188411,0.0120209851950958,0.00964243631420688,0.00724660381321172,0.00486805493232277,0.00237854888088895
3,13,0.163362785323468,6.12134518899112,-0.509911644029596,0.00980176711940807,0.016904848433731,0.0130624266118422,0.00710308131432292,0.00326065949243415,0.00384242182188877
3,14,0.337062031873261,2.96681294669229,0.0111860956197833,0.0202237219123957,0.0212022830904563,0.0201521917771399,0.00097856117806067,-7.15301352557574e-05,0.00105009131331643
3,15,0.507744948425387,1.96949276029469,0.523234845276161,0.0304646969055232,0.0372960314858183,0.0271188414323287,0.00683133458029504,-0.0033458554731945,0.0101771900534895
3,16,0.052759681202007,18.9538673702592,-0.841720956393979,0.00316558087212042,0.00748132643320083,0.00854801419872137,0.00431574556108041,0.00538243332660095,-0.00106668776552054
3,17,0.0707255866945078,14.13915453709,-0.787823239916476,0.00424353520167047,0.0107491965186059,0.00928131646372141,0.00650566131693547,0.00503778126205094,0.00146788005488454
3,18,2.35889735001491,0.423926882614744,6.07669205004473,0.141533841000895,0.0479087565546128,0.102676082313534,-0.0936250844462817,-0.0388577586873608,-0.0547673257589209
3,19,1.21251155404424,0.824734409057442,2.63753466213273,0.0727506932426546,0.0403811031014114,0.0558848253351392,-0.0323695901412432,-0.0168658679075154,-0.0155037222337277
3,20,0.21141386455796,4.73005875036092,-0.365758406326119,0.0126848318734776,0.020355375517163,0.0150236951520256,0.00767054364368538,0.00233886327854797,0.00533168036513741
3,21,0.33897408630548,2.95007801598973,0.0169222589164391,0.0203384451783288,0.0248996716416235,0.0202302348151896,0.00456122646329472,-0.000108210363139134,0.00466943682643386
3,22,0.428281905850328,2.33491068929135,0.284845717550983,0.0256969143510196,0.0275352325301527,0.0238754519394691,0.00183831817913301,-0.0018214624115505,0.00365978059068351
3,23,0.0689779899705431,14.497378082879,-0.793066030088371,0.00413867939823259,0.00794151326833885,0.00920998598519224,0.00380283387010627,0.00507130658695965,-0.00126847271685338
3,24,0.0743103641154145,13.4570730732373,-0.777068907653756,0.00445862184692487,0.0103214407251427,0.0094276339094727,0.00586281887821787,0.00496901206254783,0.000893806815670044
3,25,0.0677599135354994,14.7579881352136,-0.796720259393502,0.00406559481212996,0.00914723866825732,0.00916026857968025,0.00508164385612735,0.00509467376755028,-1.30299114229305e-05
3,26,0.0180752380473787,55.3243059581737,-0.945774285857864,0.00108451428284272,0.00318129063467868,0.0071323226413896,0.00209677635183596,0.00604780835854688,-0.00395103200671092
3,27,1.09889746737477,0.910003007276893,2.2966924021243,0.0659338480424861,0.0462352275024646,0.0512475156751606,-0.0196986205400214,-0.0146863323673255,-0.00501228817269594
3,28,0.432293160779476,2.31324501686976,0.296879482338428,0.0259375896467685,0.0286588054038742,0.0240391766304548,0.00272121575710564,-0.00189841301631375,0.0046196287734194
3,29,0.181166509682708,5.51978399181715,-0.456500470951875,0.0108699905809625,0.020575515791485,0.01378910923875,0.00970552521052254,0.0029191186577875,0.00678640655273504
3,30,0.350131747510631,2.85606777194529,0.0503952425318945,0.0210079048506379,0.0233258534705102,0.0206856495582571,0.00231794861987228,-0.000322255292380822,0.0026402039122531
3,31,0.0427341194824481,23.4005055471126,-0.871797641552656,0.00256404716894688,0.00693071001527292,0.00813880759792305,0.00436666284632604,0.00557476042897617,-0.00120809758265013
3,32,1.73505580761439,0.576350337327159,4.20516742284317,0.104103348456863,0.0473020056972047,0.0772131622155533,-0.0568013427596587,-0.0268901862413101,-0.0299111565183486
3,33,0.140086164850945,7.13846368100678,-0.579741505447165,0.0084051698910567,0.0149530512265721,0.0121123604701066,0.00654788133551536,0.0037071905790499,0.00284069075646546
3,34,0.13588332477271,7.35925472586636,-0.59235002568187,0.00815299948636261,0.0125424295552014,0.0119408159771174,0.00438943006883883,0.00378781649075481,0.000601613578084018
3,35,0.526103214984605,1.90076770397471,0.578309644953814,0.0315661928990763,0.0336234897350508,0.0278681584347458,0.00205729683597453,-0.00369803446433051,0.00575533130030504
3,36,0.0767012739911237,13.0375930928569,-0.769896178026629,0.00460207643946742,0.0105912141866196,0.00952522206766491,0.00598913774715215,0.00492314562819749,0.00106599211895466
3,37,0.0985426890862776,10.1478862538901,-0.704371932741167,0.00591256134517666,0.0144433583333942,0.0104167083980794,0.00853079698821755,0.0045041470529027,0.00402664993531485
3,38,0.431152685312775,2.31936396099345,0.293458055938326,0.0258691611187665,0.026492095977294,0.0239926266114058,0.000622934858527484,-0.00187653450736073,0.00249946936588821
3,39,0.195364529458472,5.11863644220312,-0.413906411624584,0.0117218717675083,0.0203016274778907,0.0143686202500057,0.00857975571038241,0.00264674848249734,0.00593300722788507
3,40,0.0425254332852986,23.515339474406,-0.872423700144104,0.00255152599711792,0.00676241090231514,0.00813028979395777,0.00421088490519722,0.00557876379683985,-0.00136787889164263
3,41,0.436615156909942,2.29034650807201,0.309845470729825,0.0261969094145965,0.0279297880323809,0.0242155846357799,0.00173287861778438,-0.00198132477881657,0.00371420339660095
3,42,0.513252909514694,1.94835719673864,0.539758728544081,0.0307951745708816,0.0282689361421555,0.0273436561706678,-0.00252623842872614,-0.00345151840021385,0.000925279971487708
