"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx"
11,1.31221283625646,1.06155267747541,1.06186600267389,0.00155267747541066,0.00155267747541081,-1.56775634141404e-16,0.000506007988721566,0.000506007988721566,1.06050600798872,0.00104666948668909,0.674106183199614,3.06848411491192,0.040628544745711,0.0129872756794431,0.0329086154640622,0.00720740135924011,0.00439536547474074,0.0257012141048221,0.808660519269947
12,1.28253653826124,1.06123696908069,1.06151359354217,0.00123696908069126,0.00123696908069125,1.17093834628434e-17,0.000403662337558381,0.000403662337558381,1.06040366233756,0.000833306743132882,0.673668207346945,3.06436584639844,0.0366614668195771,0.0115997462265112,0.0283590942937958,0.00643737984650079,0.00400001843244652,0.021921714447295,0.797869499204118
13,1.2545742040891,1.06087406768963,1.06111619286013,0.000874067689629054,0.000874067689629147,-9.21571846612679e-17,0.000326084588244805,0.000326084588244805,1.06032608458824,0.00054798310138425,0.62693439865831,2.68049371586019,0.0313638932939673,0.0104256828432611,0.0242832748513675,0.0057858231818752,0.00340642806568331,0.0184974516694923,0.78320598545969
14,1.2318308337444,1.06048620199426,1.06070038278394,0.000486201994256419,0.000486201994256427,-8.56519716263549e-18,0.000266172056378595,0.000266172056378595,1.06026617205638,0.000220029937877824,0.452548406787863,1.82664551971173,0.022484104263957,0.00941934280047525,0.0184669533363741,0.00522734604076756,0.00224898204146071,0.0132396072956065,0.805916777533625
15,1.21737072374331,1.0605533381509,1.06074935988289,0.000553338150897309,0.000553338150897451,-1.42247325030098e-16,0.000219162931195132,0.000219162931195132,1.0602191629312,0.000334175219702177,0.603925861898856,2.52477984246635,0.0239427467838379,0.00854718143006087,0.0185993280151632,0.00474333251847426,0.00253452951090798,0.013855995496689,0.794352703892363
16,1.20057280973332,1.06044587934946,1.06062103801244,0.000445879349456835,0.00044587934945691,-7.55146813136154e-17,0.000181773846951065,0.000181773846951065,1.06018177384695,0.00026410550250577,0.592325037765262,2.45293454991284,0.0224346671182775,0.0077840402309483,0.0184144402889506,0.00431982068646763,0.00242047372121263,0.014094619602483,0.775832533527729
17,1.18931490323443,1.06042282320771,1.06058393830775,0.000422823207712142,0.000422823207712207,-6.50521303491303e-17,0.000151685325093107,0.000151685325093107,1.06015168532509,0.000271137882619035,0.64125591422982,2.78750239980437,0.0213840733647379,0.00711068034937838,0.0174179740002367,0.00394613377587355,0.00231077149604156,0.0134718402243632,0.792004971529622
18,1.17705756005602,1.06044512709519,1.06059089263639,0.000445127095191955,0.000445127095192003,-4.77048955893622e-17,0.000127223833074725,0.000127223833074725,1.06012722383307,0.00031790326211723,0.714185376606064,3.49877129492324,0.0232465159995798,0.00651213823242733,0.0189758598897053,0.00361396763312325,0.00268472287742915,0.0153618922565821,0.73462463600159
19,1.16774469095064,1.06037340515302,1.06050761926026,0.000373405153017314,0.000373405153017236,7.80625564189563e-17,0.000107159262361168,0.000107159262361168,1.06010715926236,0.000266245890656146,0.713021468784607,3.48458121854922,0.0207452237809844,0.00597660054883956,0.0186028321950816,0.00331676634750456,0.00237681740487087,0.015286065847577,0.740491425182011
20,1.15829333967208,1.06033194454411,1.06045439628802,0.0003319445441059,0.00033194454410594,-3.95733792957209e-17,9.05724358510496e-05,9.05724358510496e-05,1.06009057243585,0.00024137210825485,0.72714588186708,3.6649620934541,0.0190085481348954,0.00549461663361056,0.0139242184355711,0.00304928519044774,0.00216090561396703,0.0108749332451234,0.756573017009997
21,1.14984415064058,1.0601987284734,1.06031078525111,0.000198728473403076,0.000198728473403155,-7.93364939716268e-17,7.67663578238677e-05,7.67663578238677e-05,1.06007676635782,0.000121962115579208,0.613712335684457,2.5887443280693,0.0151106469059725,0.00505853594840338,0.0136117916311535,0.00280727842930109,0.00168314004009155,0.0108045132018524,0.734404239280132
