"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet.x","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet.y","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
11,1.31200017039647,1.06185200234315,1.06216468755322,0.00185200234315208,0.00185200234315211,-2.75387351811318e-17,0.000534854021299694,0.000534854021299694,1.0605348540213,0.00131714832185239,0.711202297730693,3.4626314272663,0.0498456267758104,0.0133523284024385,0.0410584556201024,0.00879372875516677,0.00552016825019859,0.0322647268649356,0.855870665829394,1.0605348540213,1.06080009454468,0.000534854021299713,0.000800094544682217,1.27272727272727,1.30632707662943,2.15051454196983,2.15079136504882,2.37197300516078,2.40704004940801,2.17708105860817,2.06,2.59126315789474
12,1.27905219378374,1.06128924039735,1.06156144408908,0.00128924039734635,0.0012892403973464,-4.96564594998361e-17,0.000426673944488128,0.000426673944488128,1.06042667394449,0.000862566452858219,0.669050127992922,3.02160564056243,0.0425013878592112,0.0119257975902121,0.0365062061127716,0.0078542278197857,0.0046834033136673,0.0286519782929859,0.84034480131841,1.06042667394449,1.06066364060206,0.000426673944488032,0.00066364060205748,1.25,1.27750924115779,2.15983322400321,2.16008162326268,2.35855263157895,2.38738907296803,2.17708105860817,2.06,2.59126315789474
13,1.25813401670031,1.06144766192994,1.0616935198734,0.0014476619299375,0.00144766192993747,2.99239799605999e-17,0.000344673715028158,0.000344673715028158,1.06034467371503,0.00110298821490935,0.761910078658325,4.2000937896272,0.0462731568000081,0.0107187330567898,0.0424267380369197,0.00705926548984788,0.00539270219830555,0.0353674725470718,0.808519375852404,1.06034467371503,1.06055770441135,0.00034467371502811,0.000557704411345838,1.23076923076923,1.25359222000758,2.16926157276604,2.16948586499697,2.34869535750593,2.37272484837803,2.17708105860817,2.06,2.59126315789474
14,1.23492729958679,1.0610299615887,1.0612473332612,0.00102996158870017,0.00102996158870026,-9.28077059647592e-17,0.000281345745294224,0.000281345745294224,1.06028134574529,0.000748615843405944,0.72683860409854,3.66083939752869,0.039366574962304,0.00968410631385646,0.0345728629509951,0.00637786920704403,0.00453638920585051,0.0281949937439511,0.806032619947353,1.06028134574529,1.06047385120597,0.000281345745294148,0.000473851205969655,1.21428571428571,1.2334328552849,2.17879310457135,2.17899668335499,2.34165613147914,2.3619046566951,2.17708105860817,2.06,2.59126315789474
15,1.21714880757323,1.06074195052869,1.0609374591,0.000741950528694746,0.000741950528694789,-4.34765071166687e-17,0.000231656767644524,0.000231656767644524,1.06023165676764,0.000510293761050222,0.687773296621193,3.20280100701943,0.0330388707228508,0.0087874298033142,0.0302397039964056,0.00578732576194736,0.00373609567143448,0.0244523782344582,0.810923116992789,1.06023165676764,1.06040636719669,0.000231656767644584,0.000406367196684965,1.2,1.21621597373512,2.1884238487443,2.18860943004448,2.33688888888889,2.3541138565453,2.17708105860817,2.06,2.59126315789474
16,1.20331840889896,1.0606776146241,1.06085591561694,0.000677614624097878,0.000677614624097919,-4.09828421199521e-17,0.000192136241276596,0.000192136241276596,1.06019213624128,0.000485478382821281,0.716452044504808,3.52674029426023,0.0291833330136406,0.00800283785658972,0.0223367384920467,0.00527060024748777,0.00320712482751511,0.0170661382445589,0.859410718361979,1.06019213624128,1.06035127107098,0.000192136241276675,0.00035127107097499,1.1875,1.20134511150375,2.19815143107886,2.19832122225876,2.333984375,2.34875661450624,2.17708105860817,2.06,2.59126315789474
17,1.18951748650569,1.06066451090577,1.06082557712527,0.000664510905773463,0.000664510905773434,2.92734586571086e-17,0.000160332460962077,0.000160332460962077,1.06016033246096,0.000504178444811386,0.758721099128603,4.14458121447182,0.031089510381724,0.007310550844774,0.0276330764222953,0.00481466597002343,0.00361134787542645,0.0228184104522718,0.809371247442762,1.06016033246096,1.06030572028068,0.000160332460962032,0.000305720280679989,1.17647058823529,1.18837405882187,2.20797452671825,2.20813034595104,2.33262991295173,2.34538744420819,2.17708105860817,2.06,2.59126315789474
18,1.17773755721033,1.06050382451527,1.06065036668114,0.000503824515266871,0.00050382451526687,1.30104260698261e-18,0.00013447649096825,0.00013447649096825,1.06013447649097,0.000369348024298621,0.733088631272699,3.74656203206422,0.0273995732466122,0.00669518461204891,0.0237804466666944,0.0044093910567218,0.00315157915818711,0.0193710556099726,0.814792509292158,1.06013447649097,1.06026764172869,0.000134476490968316,0.000267641728687762,1.16666666666667,1.17696252300642,2.21789252198802,2.21803588456377,2.33258258258258,2.34366686035376,2.17708105860817,2.06,2.59126315789474
19,1.16779155933582,1.06042814166654,1.06056234593862,0.000428141666535042,0.000428141666535091,-4.91143584135934e-17,0.000113268097877635,0.000113268097877635,1.06011326809788,0.000314873568657407,0.735442479134732,3.77989632171248,0.0236622900914378,0.00614459377224226,0.0184955838137289,0.00404677666060981,0.00266749540366032,0.0144488071531191,0.831813858233202,1.06011326809788,1.06023549493381,0.000113268097877706,0.000235494933807923,1.15789473684211,1.16684657038405,2.22790529898368,2.22803748094652,2.33365086925458,2.3433318114108,2.17708105860817,2.06,2.59126315789474
20,1.15957022550594,1.06045169259862,1.06057559076475,0.000451692598618214,0.000451692598618313,-9.84997673703081e-17,9.57357049959512e-05,9.57357049959512e-05,1.060095735705,0.000355956893622263,0.788051198339714,4.71812056575252,0.026232513926742,0.00564906201641627,0.0234135450244659,0.00372042370410902,0.00310219462985321,0.0196931213203569,0.805984096338277,1.060095735705,1.06020811603536,9.57357049959917e-05,0.000208116035364636,1.15,1.157818415908,2.2380130946977,2.23813518060206,2.33568181818182,2.34417546091824,2.17708105860817,2.06,2.59126315789474
