"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
21,2.25465527197829,2.61557048735391,2.1884016873918,2.18126722863615,2.71947767951898,1.16000524049118,1.16028142441676,5.24049118166836e-06,0.00028142441675838,1.38095238095238,1.38139511210394,2.35726599304745,2.35756739924934,2.59839095455534,2.59887411777554,2.16651456182473,2.16,2.71705263157895
22,2.26268626932992,2.60847157552967,2.1884016873918,2.18126722863615,2.71947767951898,1.16000445128385,1.16025899117429,4.45128384929383e-06,0.000258991174290069,1.36363636363636,1.36402585097317,2.36807827457266,2.3683573343608,2.59132610508757,2.59175311184674,2.16651456182473,2.16,2.71705263157895
23,2.27080408796769,2.60231469700075,2.1884016873918,2.18126722863615,2.71947767951898,1.16000378692274,1.16023856479778,3.78692273694803e-06,0.000238564797779173,1.34782608695652,1.3481697151308,2.37899034596559,2.37924892620585,2.5858545381687,2.5862330042224,2.16651456182473,2.16,2.71705263157895
24,2.27952058358693,2.59809756363964,2.1884016873918,2.18126722863615,2.71947767951898,1.16000322506744,1.16021988770277,3.22506744021567e-06,0.000219887702772814,1.33333333333333,1.33363723391905,2.3900035684774,2.39024330167112,2.58179012345679,2.5821263838271,2.16651456182473,2.16,2.71705263157895
25,2.2886137623131,2.59464660141846,2.1884016873918,2.18126722863615,2.71947767951898,1.16000274798646,1.16020274455147,2.7479864579405e-06,0.000202744551474954,1.32,1.32026930267288,2.4011193338082,2.40134165557117,2.57897674418605,2.57927610855264,2.16651456182473,2.16,2.71705263157895
26,2.29823346223915,2.59258383879443,2.1884016873918,2.18126722863615,2.71947767951898,1.16000234147959,1.16018695393735,2.34147958555475e-06,0.000186953937351353,1.30769230769231,1.30793133373333,2.41233906361505,2.41254524294872,2.57728253055356,2.5775494801975,2.16651456182473,2.16,2.71705263157895
27,2.30824697253935,2.59137947981539,2.1884016873918,2.18126722863615,2.71947767951898,1.16000199408071,1.16017236195848,1.99408070811202e-06,0.000172361958477696,1.2962962962963,1.2965087092413,2.42366420932061,2.42385537327735,2.57659537471744,2.57683371600315,2.16651456182473,2.16,2.71705263157895
28,2.31926453000636,2.59160148600681,2.1884016873918,2.18126722863615,2.71947767951898,1.16000169646103,1.16015883719759,1.69646102765597e-06,0.000158837197594242,1.28571428571429,1.28590320978327,2.43509625214238,2.43527340608597,2.57681940700809,2.57703239216133,2.16651456182473,2.16,2.71705263157895
29,2.3301831245814,2.59200414145103,2.1884016873918,2.18126722863615,2.71947767951898,1.16000144097744,1.16014626676243,1.44097744114724e-06,0.000146266762426128,1.27586206896552,1.27603018300031,2.44663670328724,2.44680074765981,2.57787220134009,2.57806262434633,2.16651456182473,2.16,2.71705263157895
30,2.34248995760868,2.59399225177127,2.1884016873918,2.18126722863615,2.71947767951898,1.16000122132731,1.16013455313399,1.22132731461555e-06,0.000134553133988913,1.26666666666667,1.26681627926271,2.45828710427251,2.45843884856678,2.57968253968254,2.57985281306566,2.16651456182473,2.16,2.71705263157895
31,2.35499378462144,2.59608530728312,2.1884016873918,2.18126722863615,2.71947767951898,1.16000103228211,1.16012361163692,1.0322821137887e-06,0.000123611636922316,1.25806451612903,1.25819762619107,2.47004902734653,2.47018920182404,2.5821886093533,2.5823408261228,2.16651456182473,2.16,2.71705263157895
