"k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet.x","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet.y","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
24,1.33387533617524,1.16006551537602,1.16028277765202,6.55153760173999e-05,6.55153760174777e-05,-7.77779533486789e-17,3.22506744025416e-06,3.22506744025416e-06,1.16000322506744,6.22903085771457e-05,0.950773884906077,20.3144204675102,0.00290524420450803,0.000634927893568845,0.00118996620112605,0.000251915907973409,0.0003835008048528,0.00103242353982223,0.403859190718016,1.16000322506744,1.16021988770277,3.22506744021567e-06,0.000219887702772814,1.33333333333333,1.33363723391905,2.3900035684774,2.39024330167112,2.58179012345679,2.5821263838271,2.16651456182473,2.16,2.71705263157895
25,1.32019133350069,1.1600638233913,1.16026398277893,6.38233912970687e-05,6.38233912969741e-05,9.45695344950481e-17,2.74798645796804e-06,2.74798645796804e-06,1.16000274798646,6.10754048391007e-05,0.956943897807351,23.2255115784893,0.00287719936341216,0.000586087286371241,0.0010231769154473,0.000232537761206224,0.000402927207317492,0.00100614961415376,0.149516919991424,1.16000274798646,1.16020274455147,2.7479864579405e-06,0.000202744551474954,1.32,1.32026930267288,2.4011193338082,2.40134165557117,2.57897674418605,2.57927610855264,2.16651456182473,2.16,2.71705263157895
26,1.30798074237378,1.16004986982254,1.16023478341323,4.98698225437355e-05,4.98698225436442e-05,9.13372567683257e-17,2.34147958548756e-06,2.34147958548756e-06,1.16000234147959,4.75283429582479e-05,0.953048166886215,21.2984229513798,0.00257220232660886,0.000541003648958069,0.0010546893570178,0.000214650241113437,0.000346276688505241,0.000937933727809174,0.328237872568789,1.16000234147959,1.16018695393735,2.34147958555475e-06,0.000186953937351353,1.30769230769231,1.30793133373333,2.41233906361505,2.41254524294872,2.57728253055356,2.5775494801975,2.16651456182473,2.16,2.71705263157895
27,1.29642382336012,1.16004638927289,1.1602168610655,4.63892728863602e-05,4.63892728861023e-05,2.57850381671365e-16,1.99408070818257e-06,1.99408070818257e-06,1.16000199408071,4.43951921781776e-05,0.957014184872708,23.2634881306484,0.00243481352458212,0.000499259540242169,0.000979344725916636,0.000198087722509005,0.000342289201702475,0.000870230997978978,0.131408805506347,1.16000199408071,1.16017236195848,1.99408070811202e-06,0.000172361958477696,1.2962962962963,1.2965087092413,2.42366420932061,2.42385537327735,2.57659537471744,2.57683371600315,2.16651456182473,2.16,2.71705263157895
28,1.2859473180967,1.16004633392045,1.16020371015067,4.63339204535007e-05,4.63339204533881e-05,1.12580843085464e-16,1.69646102762313e-06,1.69646102762313e-06,1.16000169646103,4.46374594258776e-05,0.963386197174365,27.3121042564816,0.00246127816913126,0.000460497153577404,0.000895688702169033,0.000182708240947747,0.000337028409936457,0.000969115975472246,0.260514540236264,1.16000169646103,1.16015883719759,1.69646102765597e-06,0.000158837197594242,1.28571428571429,1.28590320978327,2.43509625214238,2.43527340608597,2.57681940700809,2.57703239216133,2.16651456182473,2.16,2.71705263157895
29,1.27615691744982,1.1600466876567,1.16019182544394,4.66876566973529e-05,4.6687656697218e-05,1.34867973993619e-16,1.44097744109858e-06,1.44097744109858e-06,1.16000144097744,4.52466792562543e-05,0.969135794275572,32.3999913987264,0.0024529388955153,0.000424408034958485,0.000870255588637132,0.000168389413287265,0.000332337815612837,0.000798844964534517,0.324005657847124,1.16000144097744,1.16014626676243,1.44097744114724e-06,0.000146266762426128,1.27586206896552,1.27603018300031,2.44663670328724,2.44680074765981,2.57787220134009,2.57806262434633,2.16651456182473,2.16,2.71705263157895
30,1.26690966872071,1.16004155366806,1.16017513881188,4.15536680649087e-05,4.15536680648557e-05,5.29293948080267e-17,1.22132731465246e-06,1.22132731465246e-06,1.16000122132731,4.03323407502562e-05,0.970608435511765,34.023367500573,0.00233817675183964,0.000390724857580828,0.000783764617842145,0.000155025174137482,0.000317317902594508,0.000763159256774588,0.320279259377669,1.16000122132731,1.16013455313399,1.22132731461555e-06,0.000134553133988913,1.26666666666667,1.26681627926271,2.45828710427251,2.45843884856678,2.57968253968254,2.57985281306566,2.16651456182473,2.16,2.71705263157895
31,1.2582392417239,1.1600295722831,1.16015233436991,2.95722831047396e-05,2.95722831045157e-05,2.23901301145413e-16,1.03228211376323e-06,1.03228211376323e-06,1.16000103228211,2.85400009909764e-05,0.9650929179155,28.647481837046,0.00194716129478974,0.000359214788421083,0.000633605730470218,0.000142523143965105,0.000268592984557699,0.000618414123078881,0.224006857606453,1.16000103228211,1.16012361163692,1.0322821137887e-06,0.000123611636922316,1.25806451612903,1.25819762619107,2.47004902734653,2.47018920182404,2.5821886093533,2.5823408261228,2.16651456182473,2.16,2.71705263157895
32,1.2500977035742,1.16002017233616,1.16013276925021,2.01723361610284e-05,2.01723361608831e-05,1.45316972430948e-16,8.69480090216451e-07,8.69480090216451e-07,1.16000086948009,1.9302856070812e-05,0.956897402300075,23.2004578230269,0.00160354715248568,0.000329674098583823,0.000599997898986009,0.000130802490678501,0.000224387248179507,0.000592710526003261,0.153756976210053,1.16000086948009,1.16011336839324,8.69480090148755e-07,0.000113368393240165,1.25,1.25011834590117,2.48192407598914,2.48205334156723,2.58533653846154,2.58547252245375,2.16651456182473,2.16,2.71705263157895
33,1.24259398787206,1.16003177938096,1.16013498214158,3.17793809643252e-05,3.17793809642352e-05,8.99887803162969e-17,7.2926362383174e-07,7.2926362383174e-07,1.16000072926362,3.10501173404935e-05,0.977052302414248,43.5773565632523,0.00200599646179363,0.000301923753585185,0.000686719949506105,0.000119792180015327,0.000275673920144409,0.000711786113087661,0.260356715333882,1.16000072926362,1.16010375865507,7.29263623933107e-07,0.000103758655074504,1.24242424242424,1.24252934218179,2.49391388547829,2.49403284211866,2.58907919777485,2.58920054483792,2.16651456182473,2.16,2.71705263157895
34,1.23547610206166,1.1600336471036,1.1601279501723,3.36471036042063e-05,3.36471036040206e-05,1.85669622038143e-16,6.08550634290501e-07,6.08550634290501e-07,1.16000060855063,3.30385529699158e-05,0.981913728995847,55.2905571176257,0.00214094065773998,0.000275805781821761,0.000923653113298385,0.000109429534685282,0.000294709103094685,0.000920854890594618,0.268443393785967,1.16000060855063,1.160094725437,6.08550634328964e-07,9.47254370047279e-05,1.23529411764706,1.23538730196293,2.50602012351263,2.50612931737594,2.59337521416334,2.59348332606379,2.16651456182473,2.16,2.71705263157895
35,1.22849309344345,1.1600237342749,1.16010932097386,2.37342749036529e-05,2.37342749033908e-05,2.62092322671215e-16,5.04732206565559e-07,5.04732206565559e-07,1.16000050473221,2.32295426970873e-05,0.978734037226143,47.0234999766556,0.00176062892378988,0.000251180265587675,0.000606913329129322,9.9659040516953e-05,0.0002582984380685,0.000706572369646275,-0.195595473191537,1.16000050473221,1.16008621838701,5.04732206474401e-07,8.6218387005621e-05,1.22857142857143,1.22865386816517,2.51824449088291,2.51834442046095,2.5981881533101,2.59828426581207,2.16651456182473,2.16,2.71705263157895
36,1.22235842277504,1.16002873548576,1.16010664759488,2.87354857639865e-05,2.87354857639719e-05,1.46130124060312e-17,4.15590544569241e-07,4.15590544569241e-07,1.16000041559054,2.83198952194173e-05,0.985537375355941,69.1437428966793,0.00189264128148148,0.000227922833588816,0.000578086709254348,9.04313515801981e-05,0.000261802796629956,0.000556468617061916,0.239935165206892,1.16000041559054,1.16007819284883,4.15590544644573e-07,7.81928488342576e-05,1.22222222222222,1.22229495056752,2.53058872218696,2.5306798435827,2.60348583877996,2.60357104502764,2.16651456182473,2.16,2.71705263157895
37,1.21641756598803,1.160020032768,1.16009052968452,2.0032767999334e-05,2.00327679991971e-05,1.36860195485561e-16,3.3923280598729e-07,3.3923280598729e-07,1.16000033923281,1.96935351933467e-05,0.983066104194959,59.0531565513877,0.0016345193302492,0.000205922560076382,0.000544343721736142,8.17024566400245e-05,0.000219621401422514,0.000493248804556527,0.449188285455327,1.16000033923281,1.16007060907904,3.39232806068068e-07,7.06090790352221e-05,1.21621621621622,1.21628014855273,2.54305458658444,2.54313731807827,2.60923978165357,2.60931505174435,2.16651456182473,2.16,2.71705263157895
38,1.2104339926529,1.16001597144748,1.16007899397399,1.59714474836647e-05,1.597144748373e-05,-6.52892995743615e-17,2.74037430711494e-07,2.74037430711494e-07,1.16000027403743,1.56974100529533e-05,0.982842041650153,58.2819925080944,0.00147388085249562,0.000185080195696181,0.000769829398951663,7.3432977223018e-05,0.000217623714579377,0.000843262376174681,-0.295881237483964,1.16000027403743,1.16006343158962,2.74037430747498e-07,6.34315896206328e-05,1.21052631578947,1.21058226509824,2.55564388858884,2.55571861460356,2.61542470036477,2.61549089781426,2.16651456182473,2.16,2.71705263157895
39,1.20510526551252,1.16001528644328,1.16007164891712,1.52864432789723e-05,1.52864432790408e-05,-6.84267096109914e-17,2.18610362533947e-07,2.18610362533947e-07,1.16000021861036,1.50678329164384e-05,0.985699069525567,69.925520006393,0.00137490703642637,0.000165306670514965,0.000465914926323929,6.55875736735503e-05,0.000196711760456023,0.000465333569243521,-0.0375749800331076,1.16000021861036,1.16005662859351,2.18610362479055e-07,5.66285935097444e-05,1.2051282051282,1.20517689561804,2.56835846889491,2.56842554345198,2.62201811455543,2.6220760102125,2.16651456182473,2.16,2.71705263157895
40,1.19993938791643,1.16001205898822,1.16006196814938,1.20589882226518e-05,1.20589882225297e-05,1.2210826967618e-16,1.71749153623003e-07,1.71749153623003e-07,1.16000017174915,1.18872390690288e-05,0.98575758177619,70.212795628221,0.00127018741267491,0.00014652182159281,0.00045758819343799,5.81344403015559e-05,0.000184510670980798,0.000459176216714663,-0.180980643112581,1.16000017174915,1.16005017153447,1.7174915356577e-07,5.01715344671805e-05,1.2,1.20004207854264,2.58120020524024,2.58125995498369,2.629,2.62905028385845,2.16651456182473,2.16,2.71705263157895
