"vintage","target_date","target_year","target_q","k_main","MEAN_bivariate","MEAN_fore_rs","RS_fore","LASSO_fore","RIDGE_fore","RF_fore","covid_excl","actual"
"2012-06",2012-06-01,2012,2,9,0.710495756593246,0.726697262018356,0.673619964521025,0.63500036847605,0.677534302814103,0.677228036686127,FALSE,0.446334746165311
"2012-09",2012-09-01,2012,3,9,0.730622145314683,0.663482943489014,0.52531735839433,0.643068024105737,0.58906015658053,0.456428709792685,FALSE,0.144027997322937
"2012-12",2012-12-01,2012,4,9,0.684647671466523,0.539139405786956,0.530677560532562,0.524897972566355,0.493291788636858,0.520815715242631,FALSE,0.115640553760366
"2013-03",2013-03-01,2013,1,9,0.793968163017781,0.635908044690952,0.74448464257916,0.676504808459059,0.567693786519832,0.473676770940946,FALSE,0.986560663863845
"2013-06",2013-06-01,2013,2,9,0.734715300904524,0.786102517958139,0.652363359885796,0.751834212611121,0.692603780775426,0.608277402803538,FALSE,0.267636334812926
"2013-09",2013-09-01,2013,3,9,0.743037787803805,0.629306063278665,0.61970569588722,0.536024202545859,0.556261690784702,0.41542743204304,FALSE,0.851393569084391
"2013-12",2013-12-01,2013,4,9,0.805838762328312,0.819746727720998,0.884966210074254,0.94314751362553,0.769859061970246,0.681597561754131,FALSE,0.871741753427258
"2014-03",2014-03-01,2014,1,9,0.701946861201786,0.72634099445124,0.587808957350751,0.281501471262772,0.629425409272443,0.542950870919786,FALSE,-0.345095985284771
"2014-06",2014-06-01,2014,2,9,0.780080097599008,0.518731575260311,0.524987918012088,0.500233495434084,0.432298143401314,0.45670606569094,FALSE,1.29184212921329
"2014-09",2014-09-01,2014,3,9,0.74418976642853,0.857038855615444,0.713404787470813,0.767734283413921,0.753768397224264,0.603918974528717,FALSE,1.21539140931679
"2014-12",2014-12-01,2014,4,9,0.813205186021821,0.90942219642104,0.959709807298081,0.899773861895784,0.846920266172704,0.938269862117691,FALSE,0.50573313621205
"2015-03",2015-03-01,2015,1,9,0.742764855067192,0.684310055616871,0.564829525582845,0.477466913149885,0.573724748600821,0.446176887550134,FALSE,0.900484977565719
"2015-06",2015-06-01,2015,2,9,0.743493895243227,0.776473530821356,0.652462157002803,0.567452756119475,0.636253543967627,0.51259139399704,FALSE,0.619405086758862
"2015-09",2015-09-01,2015,3,9,0.751307911111587,0.715320147206639,0.712923139520077,0.552501982754141,0.66762286049635,0.572625862062447,FALSE,0.400245061252824
"2015-12",2015-12-01,2015,4,9,0.736393815324441,0.657127589397851,0.587973401671722,0.307651079884812,0.573411330618453,0.440104076731185,FALSE,0.184479126463644
"2016-03",2016-03-01,2016,1,9,0.765195575045898,0.633483372139155,0.614122872471,0.41678786853574,0.566282175556655,0.547703985748325,FALSE,0.579519406045015
"2016-06",2016-06-01,2016,2,10,0.759099539877729,0.712121032647841,0.67316595187743,0.809118629095598,0.632517672550038,0.531128948244309,FALSE,0.321124068438117
"2016-09",2016-09-01,2016,3,10,0.729393194285214,0.624938044784366,0.582070041150737,0.399498701948136,0.54766332055627,0.492306730338745,FALSE,0.709390255078635
