T_len,rho,R2_target,phi_f,phi_eta,phi_u,z,rmsfe_base,rmsfe_rs,rel_rmsfe,rmse_pooled_base,rmse_pooled_rs,bias_base,var_base,bias_rs,var_rs,Q_ols,Q_rs_bag,Q_rs_subavg,L_ols,L_rs_bag,L_rs_subavg
100,0.800000,0.300000,0.3,0.7,0.0,22,1.085266,1.072627,0.988354,1.098473,1.085644,0.000203,1.206439,0.000000,1.178623,0.471957,0.703689,0.787798,1.063682,0.923725,1.034300
100,0.800000,0.300000,0.3,0.7,0.0,23,1.085266,1.079603,0.994782,1.098473,1.092769,0.000203,1.206439,0.000000,1.194145,0.471957,0.691802,0.776107,1.063682,0.921840,1.034365
100,0.800000,0.300000,0.3,0.7,0.0,24,1.085266,1.086851,1.001460,1.098473,1.100192,0.000203,1.206439,0.000000,1.210423,0.471957,0.680104,0.764538,1.063682,0.920153,1.034597
100,0.800000,0.300000,0.3,0.7,0.0,25,1.085266,1.094706,1.008698,1.098473,1.108229,0.000203,1.206439,0.000000,1.228171,0.471957,0.668538,0.753080,1.063682,0.918594,1.034988
100,0.800000,0.300000,0.3,0.7,0.0,26,1.085266,1.103127,1.016458,1.098473,1.116870,0.000203,1.206439,0.000000,1.247398,0.471957,0.657175,0.741711,1.063682,0.917269,1.035518
100,0.800000,0.300000,0.3,0.7,0.0,27,1.085266,1.111237,1.023930,1.098473,1.125156,0.000203,1.206439,0.000000,1.265976,0.471957,0.645956,0.730388,1.063682,0.916104,1.036128
100,0.800000,0.300000,0.3,0.7,0.0,28,1.085266,1.120750,1.032696,1.098473,1.134923,0.000203,1.206439,0.000000,1.288050,0.471957,0.634877,0.719104,1.063682,0.915104,1.036818
100,0.800000,0.300000,0.3,0.7,0.0,29,1.085266,1.130348,1.041540,1.098473,1.144768,0.000203,1.206439,0.000001,1.310494,0.471957,0.624007,0.707881,1.063682,0.914379,1.037620
100,0.800000,0.300000,0.3,0.7,0.0,30,1.085266,1.140535,1.050927,1.098473,1.155159,0.000203,1.206439,0.000001,1.334391,0.471957,0.613334,0.696698,1.063682,0.913919,1.038507
100,0.800000,0.300000,0.3,0.7,0.0,31,1.085266,1.151672,1.061188,1.098473,1.166560,0.000203,1.206439,0.000001,1.360861,0.471957,0.602806,0.685509,1.063682,0.913664,1.039417
100,0.800000,0.300000,0.3,0.7,0.0,32,1.085266,1.163429,1.072022,1.098473,1.178635,0.000203,1.206439,0.000002,1.389179,0.471957,0.592523,0.674340,1.063682,0.913782,1.040392
100,0.800000,0.300000,0.3,0.7,0.0,33,1.085266,1.175234,1.082899,1.098473,1.190672,0.000203,1.206439,0.000002,1.417697,0.471957,0.582475,0.663221,1.063682,0.914268,1.041477
100,0.800000,0.300000,0.3,0.7,0.0,34,1.085266,1.188690,1.095298,1.098473,1.204468,0.000203,1.206439,0.000007,1.450735,0.471957,0.572660,0.652082,1.063682,0.915150,1.042573
100,0.800000,0.300000,0.3,0.7,0.0,35,1.085266,1.202642,1.108154,1.098473,1.218728,0.000203,1.206439,0.000009,1.485289,0.471957,0.563033,0.640895,1.063682,0.916368,1.043630
100,0.800000,0.300000,0.3,0.7,0.0,36,1.085266,1.217634,1.121968,1.098473,1.234056,0.000203,1.206439,0.000010,1.522883,0.471957,0.553723,0.629752,1.063682,0.918161,1.044802
100,0.800000,0.300000,0.3,0.7,0.0,37,1.085266,1.233918,1.136973,1.098473,1.250729,0.000203,1.206439,0.000013,1.564310,0.471957,0.544679,0.618576,1.063682,0.920476,1.045964
100,0.800000,0.300000,0.3,0.7,0.0,38,1.085266,1.250408,1.152167,1.098473,1.267541,0.000203,1.206439,0.000015,1.606645,0.471957,0.535964,0.607414,1.063682,0.923451,1.047194
100,0.800000,0.300000,0.3,0.7,0.0,39,1.085266,1.268745,1.169064,1.098473,1.286266,0.000203,1.206439,0.000023,1.654458,0.471957,0.527587,0.596226,1.063682,0.927145,1.048435
100,0.800000,0.300000,0.3,0.7,0.0,40,1.085266,1.288566,1.187327,1.098473,1.306456,0.000203,1.206439,0.000031,1.706797,0.471957,0.519575,0.585010,1.063682,0.931648,1.049672
100,0.800000,0.300000,0.3,0.7,0.0,41,1.085266,1.309850,1.206939,1.098473,1.328122,0.000203,1.206439,0.000033,1.763876,0.471957,0.511979,0.573805,1.063682,0.937107,1.050983
100,0.800000,0.300000,0.3,0.7,0.0,42,1.085266,1.332904,1.228181,1.098473,1.351578,0.000203,1.206439,0.000041,1.826722,0.471957,0.504812,0.562555,1.063682,0.943609,1.052271
100,0.800000,0.300000,0.3,0.7,0.0,43,1.085266,1.357699,1.251028,1.098473,1.376923,0.000203,1.206439,0.000052,1.895865,0.471957,0.498144,0.551287,1.063682,0.951355,1.053576
100,0.800000,0.300000,0.3,0.7,0.0,44,1.085266,1.384672,1.275882,1.098473,1.404373,0.000203,1.206439,0.000059,1.972205,0.471957,0.492035,0.540029,1.063682,0.960554,1.054965
100,0.800000,0.300000,0.3,0.7,0.0,45,1.085266,1.414136,1.303032,1.098473,1.434347,0.000203,1.206439,0.000073,2.057279,0.471957,0.486545,0.528735,1.063682,0.971422,1.056345
100,0.800000,0.300000,0.3,0.7,0.0,46,1.085266,1.445945,1.332342,1.098473,1.466691,0.000203,1.206439,0.000082,2.151101,0.471957,0.481752,0.517415,1.063682,0.984247,1.057745
100,0.800000,0.300000,0.3,0.7,0.0,47,1.085266,1.481755,1.365338,1.098473,1.503002,0.000203,1.206439,0.000103,2.258914,0.471957,0.477748,0.506064,1.063682,0.999360,1.059144
100,0.800000,0.300000,0.3,0.7,0.0,48,1.085266,1.521144,1.401632,1.098473,1.543015,0.000203,1.206439,0.000120,2.380774,0.471957,0.474682,0.494730,1.063682,1.017262,1.060652
100,0.800000,0.300000,0.3,0.7,0.0,49,1.085266,1.564366,1.441458,1.098473,1.586855,0.000203,1.206439,0.000138,2.517971,0.471957,0.472682,0.483343,1.063682,1.038454,1.062126
100,0.800000,0.300000,0.3,0.7,0.0,50,1.085266,1.613033,1.486301,1.098473,1.636226,0.000203,1.206439,0.000162,2.677072,0.471957,0.471957,0.471957,1.063682,1.063682,1.063682
150,0.800000,0.300000,0.3,0.7,0.0,2,1.096886,1.075525,0.980525,1.111948,1.090311,0.000245,1.236183,0.000194,1.188585,0.672884,1.134468,1.214869,1.042292,1.142732,1.223720
150,0.800000,0.300000,0.3,0.7,0.0,3,1.096886,1.056618,0.963289,1.111948,1.071143,0.000245,1.236183,0.000141,1.147207,0.672884,1.078601,1.167350,1.042292,1.094431,1.184483
150,0.800000,0.300000,0.3,0.7,0.0,4,1.096886,1.043407,0.951245,1.111948,1.057764,0.000245,1.236183,0.000110,1.118755,0.672884,1.036016,1.128950,1.042292,1.058992,1.153988
150,0.800000,0.300000,0.3,0.7,0.0,5,1.096886,1.034322,0.942962,1.111948,1.048486,0.000245,1.236183,0.000087,1.099237,0.672884,1.003618,1.097036,1.042292,1.033516,1.129718
150,0.800000,0.300000,0.3,0.7,0.0,6,1.096886,1.028406,0.937569,1.111948,1.042448,0.000245,1.236183,0.000075,1.086622,0.672884,0.978249,1.069997,1.042292,1.014950,1.110142
150,0.800000,0.300000,0.3,0.7,0.0,7,1.096886,1.024381,0.933899,1.111948,1.038341,0.000245,1.236183,0.000065,1.078087,0.672884,0.957681,1.046647,1.042292,1.001122,1.094125
150,0.800000,0.300000,0.3,0.7,0.0,8,1.096886,1.022104,0.931823,1.111948,1.035963,0.000245,1.236183,0.000058,1.073161,0.672884,0.940506,1.026283,1.042292,0.990657,1.081010
150,0.800000,0.300000,0.3,0.7,0.0,9,1.096886,1.020595,0.930448,1.111948,1.034376,0.000245,1.236183,0.000053,1.069881,0.672884,0.925724,1.008212,1.042292,0.982572,1.070129
150,0.800000,0.300000,0.3,0.7,0.0,10,1.096886,1.020177,0.930066,1.111948,1.033880,0.000245,1.236183,0.000047,1.068862,0.672884,0.912748,0.992111,1.042292,0.976293,1.061185
150,0.800000,0.300000,0.3,0.7,0.0,11,1.096886,1.020569,0.930424,1.111948,1.034221,0.000245,1.236183,0.000046,1.069566,0.672884,0.901007,0.977509,1.042292,0.971248,1.053718
